0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
VT-ABC-WO-6661,VT-ABC,AI-1622,Inspection,OPS-E4L86,10/9/2024 14:35,12/16/2024 14:07,5,32,Hydraulic leak,Seal,3,OPS-OOCGI,FALSE,FALSE,
VT-ABC-WO-6725,VT-ABC,EK-2621,Inspection,RET-EX36R,11/12/2024 21:56,12/25/2024 14:43,5,32,Hydraulic leak,Seal,3,GH-FWXEE,FALSE,FALSE,
VT-ABC-WO-6211,VT-ABC,AF-8336,Inspection,MTC-0015Y,12/29/2024 17:46,10/9/2024 15:39,5,32,Hydraulic leak,Seal,3,MTC-1RTW4,FALSE,FALSE,
VT-ABC-WO-1272,VT-ABC,EK-3938,Inspection,OPS-1NREO,11/28/2024 12:27,11/2/2024 9:31,5,32,Hydraulic leak,Seal,3,CC-4TI36,FALSE,FALSE,
VT-ABC-WO-9814,VT-ABC,SG-3215,Inspection,OPS-7EJ02,10/20/2024 0:31,12/23/2024 8:58,5,32,Hydraulic leak,Seal,3,MTC-UR08E,FALSE,FALSE,
VT-ABC-WO-6426,VT-ABC,SG-5997,Inspection,RET-U43XD,11/14/2024 12:24,10/24/2024 7:02,5,32,Hydraulic leak,Seal,3,CC-8YPDO,FALSE,FALSE,
VT-ABC-WO-3346,VT-ABC,UK-2300,Inspection,MTC-MCCBY,10/2/2024 11:14,12/14/2024 0:31,5,32,Hydraulic leak,Seal,3,OPS-NXZ5T,FALSE,FALSE,
VT-ABC-WO-5431,VT-ABC,AF-3637,Inspection,SEC-WP69O,10/25/2024 6:41,11/7/2024 17:27,5,32,Hydraulic leak,Seal,3,RET-WQWWF,FALSE,FALSE,
VT-ABC-WO-6389,VT-ABC,BA-441,Inspection,CC-CMXS5,10/17/2024 16:23,11/15/2024 16:21,5,32,Hydraulic leak,Seal,3,CC-YIYAJ,FALSE,FALSE,
VT-ABC-WO-6606,VT-ABC,LH-3746,Inspection,CC-WW3A2,11/10/2024 18:18,11/11/2024 18:38,5,32,Hydraulic leak,Seal,3,RET-4PZY1,FALSE,FALSE,
VT-ABC-WO-4769,VT-ABC,SG-9224,Inspection,OPS-QZBDN,10/25/2024 0:16,10/1/2024 23:26,5,32,Hydraulic leak,Seal,3,OPS-O92ML,FALSE,FALSE,
VT-ABC-WO-4562,VT-ABC,EK-280,Inspection,GH-MIMUF,10/24/2024 18:47,11/10/2024 0:36,5,32,Hydraulic leak,Seal,3,RET-Q2BYX,FALSE,FALSE,
VT-ABC-WO-8442,VT-ABC,AF-3478,Inspection,RET-0SILP,11/7/2024 13:12,11/13/2024 22:53,5,32,Hydraulic leak,Seal,3,OPS-MEEP9,FALSE,FALSE,
VT-ABC-WO-6883,VT-ABC,KL-1369,Inspection,MTC-ZO9M2,12/12/2024 8:53,12/11/2024 8:37,5,32,Hydraulic leak,Seal,3,GH-T05WF,FALSE,FALSE,
VT-ABC-WO-9897,VT-ABC,EK-5370,Inspection,GH-RXZ38,10/3/2024 3:43,11/13/2024 17:24,5,32,Hydraulic leak,Seal,3,CC-6M4NM,FALSE,FALSE,
VT-ABC-WO-9369,VT-ABC,BA-4964,Inspection,SEC-HJM8D,10/24/2024 1:50,11/7/2024 17:46,5,32,Hydraulic leak,Seal,3,OPS-CW8EW,FALSE,FALSE,
VT-ABC-WO-2447,VT-ABC,SQ-6988,Inspection,SEC-Y9D2N,12/30/2024 9:16,10/12/2024 23:42,5,32,Hydraulic leak,Seal,3,OPS-WKFN4,FALSE,FALSE,
VT-ABC-WO-2395,VT-ABC,AI-3788,Inspection,MTC-NTCL7,10/25/2024 17:58,11/29/2024 3:56,5,32,Hydraulic leak,Seal,3,SEC-N60SI,FALSE,FALSE,
VT-ABC-WO-3459,VT-ABC,SG-7608,Inspection,GH-3VE2P,10/27/2024 12:08,12/3/2024 8:25,5,32,Hydraulic leak,Seal,3,SEC-W9FHR,FALSE,FALSE,
VT-ABC-WO-1558,VT-ABC,QR-1916,Inspection,OPS-LMZG8,12/1/2024 5:06,12/7/2024 3:14,5,32,Hydraulic leak,Seal,3,GH-3EY7K,FALSE,FALSE,
VT-ABC-WO-6033,VT-ABC,IX-9796,Inspection,OPS-7CP3E,10/19/2024 19:13,10/19/2024 11:51,5,32,Hydraulic leak,Seal,3,RET-YAG2C,FALSE,FALSE,
VT-ABC-WO-2510,VT-ABC,LH-286,Inspection,MTC-4BTKQ,10/17/2024 15:49,12/24/2024 7:03,5,32,Hydraulic leak,Seal,3,GH-XND1T,FALSE,FALSE,
VT-ABC-WO-1687,VT-ABC,SG-1728,Inspection,CC-LFXFY,11/3/2024 23:05,12/9/2024 6:54,5,32,Hydraulic leak,Seal,3,CC-UEZRG,FALSE,FALSE,
VT-ABC-WO-9313,VT-ABC,AI-5756,Inspection,SEC-NH261,11/5/2024 23:28,10/1/2024 4:35,5,32,Hydraulic leak,Seal,3,OPS-C7H94,FALSE,FALSE,
VT-ABC-WO-6659,VT-ABC,AF-7400,Inspection,CC-IGJBM,12/11/2024 8:49,12/23/2024 2:57,5,32,Hydraulic leak,Seal,3,CC-4P58O,FALSE,FALSE,
VT-ABC-WO-3148,VT-ABC,AF-3234,Inspection,CC-NNRAZ,11/15/2024 23:41,12/21/2024 21:48,5,32,Hydraulic leak,Seal,3,CC-RX96H,FALSE,FALSE,
VT-ABC-WO-8198,VT-ABC,SG-4660,Inspection,CC-82EUN,10/4/2024 1:46,12/24/2024 8:47,5,32,Hydraulic leak,Seal,3,CC-DNGUU,FALSE,FALSE,
VT-ABC-WO-2058,VT-ABC,BA-7454,Inspection,GH-PSWXB,12/28/2024 22:47,11/15/2024 11:41,5,32,Hydraulic leak,Seal,3,CC-Q3G1V,FALSE,FALSE,
VT-ABC-WO-2449,VT-ABC,QR-233,Inspection,RET-BQ72K,10/28/2024 6:18,12/8/2024 8:12,5,32,Hydraulic leak,Seal,3,GH-R99SZ,FALSE,FALSE,
VT-ABC-WO-7876,VT-ABC,6E-7500,Inspection,CC-AKVSS,11/11/2024 1:39,12/10/2024 10:55,5,32,Hydraulic leak,Seal,3,SEC-8HS1V,FALSE,FALSE,
VT-ABC-WO-7304,VT-ABC,SG-3164,Inspection,CC-U8QVC,11/1/2024 16:06,10/1/2024 16:34,5,32,Hydraulic leak,Seal,3,CC-4JVV5,FALSE,FALSE,
VT-ABC-WO-5600,VT-ABC,KL-7243,Inspection,OPS-A5524,11/28/2024 14:06,12/24/2024 9:23,5,32,Hydraulic leak,Seal,3,CC-FR5EH,FALSE,FALSE,
VT-ABC-WO-7305,VT-ABC,SQ-7054,Inspection,OPS-J8HN5,12/14/2024 6:25,10/26/2024 17:15,5,32,Hydraulic leak,Seal,3,CC-KVNO3,FALSE,FALSE,
VT-ABC-WO-5185,VT-ABC,QR-4463,Inspection,MTC-4QTU7,12/12/2024 8:37,12/28/2024 3:48,5,32,Hydraulic leak,Seal,3,SEC-GYERG,FALSE,FALSE,
VT-ABC-WO-1248,VT-ABC,SQ-6053,Inspection,RET-L471E,10/30/2024 12:31,12/23/2024 9:33,5,32,Hydraulic leak,Seal,3,CC-OITW2,FALSE,FALSE,
VT-ABC-WO-2483,VT-ABC,QR-4555,Inspection,OPS-BKPGG,12/29/2024 10:35,11/23/2024 5:05,5,32,Hydraulic leak,Seal,3,MTC-ECJUV,FALSE,FALSE,
VT-ABC-WO-8644,VT-ABC,AF-4257,Inspection,MTC-P8PO2,12/26/2024 14:09,12/20/2024 21:46,5,32,Hydraulic leak,Seal,3,MTC-5PFU3,FALSE,FALSE,
VT-ABC-WO-7325,VT-ABC,UK-602,Inspection,OPS-Q7FCW,12/3/2024 21:22,11/5/2024 4:39,5,32,Hydraulic leak,Seal,3,RET-4YLIT,FALSE,FALSE,
VT-ABC-WO-5879,VT-ABC,QR-5671,Inspection,GH-HQT0F,11/7/2024 21:13,12/9/2024 11:30,5,32,Hydraulic leak,Seal,3,MTC-TLX07,FALSE,FALSE,
VT-ABC-WO-6941,VT-ABC,IX-923,Inspection,SEC-5YRKE,11/30/2024 16:52,10/21/2024 23:52,5,32,Hydraulic leak,Seal,3,MTC-EZC3M,FALSE,FALSE,
VT-ABC-WO-8336,VT-ABC,EK-7794,Inspection,MTC-94157,10/17/2024 9:47,10/7/2024 22:17,5,32,Hydraulic leak,Seal,3,SEC-VM7FR,FALSE,FALSE,
VT-ABC-WO-4382,VT-ABC,IX-8671,Inspection,CC-KHQ5N,10/23/2024 15:59,10/22/2024 5:56,5,32,Hydraulic leak,Seal,3,MTC-31RU6,FALSE,FALSE,
VT-ABC-WO-9877,VT-ABC,AI-9070,Inspection,SEC-32RTH,10/15/2024 12:54,10/18/2024 19:02,5,32,Hydraulic leak,Seal,3,RET-SZKFQ,FALSE,FALSE,
VT-ABC-WO-4737,VT-ABC,EK-9096,Inspection,GH-TSDXG,11/14/2024 12:44,10/20/2024 13:39,5,32,Hydraulic leak,Seal,3,SEC-6ZRL1,FALSE,FALSE,
VT-ABC-WO-7869,VT-ABC,EK-5266,Inspection,SEC-7FJVZ,10/23/2024 17:22,12/22/2024 7:07,5,32,Hydraulic leak,Seal,3,RET-WBJDX,FALSE,FALSE,
VT-ABC-WO-4961,VT-ABC,AI-6381,Inspection,RET-FVEU1,12/19/2024 17:05,11/10/2024 23:20,5,32,Hydraulic leak,Seal,3,GH-MQCBV,FALSE,FALSE,
VT-ABC-WO-1087,VT-ABC,KL-5784,Inspection,SEC-KW5P1,12/9/2024 14:19,11/9/2024 12:58,5,32,Hydraulic leak,Seal,3,CC-HZDZZ,FALSE,FALSE,
VT-ABC-WO-6064,VT-ABC,6E-2217,Inspection,MTC-8THQ5,10/16/2024 4:32,11/23/2024 23:45,5,32,Hydraulic leak,Seal,3,MTC-AAN4Z,FALSE,FALSE,
VT-ABC-WO-2365,VT-ABC,AI-2000,Inspection,CC-SSH4Y,11/22/2024 10:17,11/2/2024 23:29,5,32,Hydraulic leak,Seal,3,RET-VJ36G,FALSE,FALSE,
VT-ABC-WO-8343,VT-ABC,6E-7869,Inspection,SEC-YR438,11/7/2024 10:31,12/23/2024 10:35,5,32,Hydraulic leak,Seal,3,CC-PZKM0,FALSE,FALSE,
VT-ABC-WO-8079,VT-ABC,AF-8793,Inspection,SEC-4DOOU,10/6/2024 14:45,10/17/2024 20:26,5,32,Hydraulic leak,Seal,3,MTC-ZQ7WS,FALSE,FALSE,
VT-ABC-WO-8507,VT-ABC,AF-9002,Inspection,OPS-J9D44,12/8/2024 14:56,12/19/2024 13:57,5,32,Hydraulic leak,Seal,3,MTC-4XZXV,FALSE,FALSE,
VT-ABC-WO-1851,VT-ABC,6E-2755,Inspection,SEC-4MSDH,10/11/2024 4:45,11/6/2024 11:24,5,32,Hydraulic leak,Seal,3,OPS-RLEMR,FALSE,FALSE,
VT-ABC-WO-7204,VT-ABC,KL-7305,Inspection,GH-DC5YW,10/9/2024 21:36,11/27/2024 8:35,5,32,Hydraulic leak,Seal,3,GH-P8I2Q,FALSE,FALSE,
VT-ABC-WO-3450,VT-ABC,SQ-3327,Inspection,RET-W74GE,12/21/2024 16:58,11/18/2024 11:44,5,32,Hydraulic leak,Seal,3,GH-ZFE84,FALSE,FALSE,
VT-ABC-WO-9745,VT-ABC,LH-979,Inspection,GH-I0ONQ,11/12/2024 23:37,10/18/2024 3:09,5,32,Hydraulic leak,Seal,3,OPS-6OGDJ,FALSE,FALSE,
VT-ABC-WO-5117,VT-ABC,BA-2358,Inspection,SEC-CZMPV,12/25/2024 7:47,11/25/2024 5:46,5,32,Hydraulic leak,Seal,3,MTC-X2OG3,FALSE,FALSE,
VT-ABC-WO-2572,VT-ABC,KL-8143,Inspection,MTC-DNF9S,10/26/2024 21:19,10/14/2024 10:51,5,32,Hydraulic leak,Seal,3,MTC-DXI73,FALSE,FALSE,
VT-ABC-WO-5603,VT-ABC,UK-7470,Inspection,SEC-9U5JQ,11/20/2024 3:29,12/25/2024 9:03,5,32,Hydraulic leak,Seal,3,CC-Q9VDP,FALSE,FALSE,
VT-ABC-WO-3832,VT-ABC,SQ-5271,Inspection,OPS-E2CHH,10/17/2024 3:23,11/2/2024 18:50,5,32,Hydraulic leak,Seal,3,GH-2VRDF,FALSE,FALSE,
VT-ABC-WO-1439,VT-ABC,LH-2053,Inspection,CC-EZ1EL,10/11/2024 13:38,10/13/2024 20:37,5,32,Hydraulic leak,Seal,3,OPS-5758V,FALSE,FALSE,
VT-ABC-WO-9399,VT-ABC,AF-4097,Inspection,SEC-9FKYD,12/26/2024 10:41,11/2/2024 3:12,5,32,Hydraulic leak,Seal,3,GH-TZGO8,FALSE,FALSE,
VT-ABC-WO-7480,VT-ABC,AF-3478,Inspection,CC-9XLC1,11/22/2024 18:26,12/20/2024 22:58,5,32,Hydraulic leak,Seal,3,OPS-KRT5I,FALSE,FALSE,
VT-ABC-WO-8925,VT-ABC,AF-6113,Inspection,GH-UICU5,11/1/2024 18:01,10/11/2024 2:07,5,32,Hydraulic leak,Seal,3,SEC-08YW3,FALSE,FALSE,
VT-ABC-WO-1939,VT-ABC,LH-286,Inspection,MTC-0N6LY,11/27/2024 10:19,12/15/2024 19:17,5,32,Hydraulic leak,Seal,3,GH-VDA7T,FALSE,FALSE,
VT-ABC-WO-3054,VT-ABC,AF-1366,Inspection,GH-GEBC7,12/24/2024 15:24,10/8/2024 0:48,5,32,Hydraulic leak,Seal,3,OPS-V2APX,FALSE,FALSE,
VT-ABC-WO-6946,VT-ABC,SG-4302,Inspection,GH-GW22F,10/25/2024 5:06,10/29/2024 7:41,5,32,Hydraulic leak,Seal,3,CC-NAQGK,FALSE,FALSE,
VT-ABC-WO-1027,VT-ABC,AI-1245,Inspection,GH-OGONH,12/30/2024 21:54,11/3/2024 21:05,5,32,Hydraulic leak,Seal,3,OPS-B1LYU,FALSE,FALSE,
VT-ABC-WO-7104,VT-ABC,EK-6631,Inspection,CC-TEHOJ,10/12/2024 12:12,10/18/2024 6:55,5,32,Hydraulic leak,Seal,3,SEC-7BH3Y,FALSE,FALSE,
VT-ABC-WO-5580,VT-ABC,IX-3850,Inspection,OPS-WAMG7,11/14/2024 9:50,12/9/2024 14:49,5,32,Hydraulic leak,Seal,3,MTC-TEIIP,FALSE,FALSE,
VT-ABC-WO-9206,VT-ABC,IX-9164,Inspection,GH-PCN2U,10/22/2024 14:16,10/1/2024 0:40,5,32,Hydraulic leak,Seal,3,GH-IL5XY,FALSE,FALSE,
VT-ABC-WO-1577,VT-ABC,SQ-1712,Inspection,RET-F6KFT,10/8/2024 11:38,11/6/2024 18:24,5,32,Hydraulic leak,Seal,3,CC-MEDGY,FALSE,FALSE,
VT-ABC-WO-7606,VT-ABC,6E-8601,Inspection,OPS-GGB5U,11/26/2024 9:56,10/3/2024 18:36,5,32,Hydraulic leak,Seal,3,MTC-1CLZT,FALSE,FALSE,
VT-ABC-WO-6516,VT-ABC,AF-8948,Inspection,OPS-FCK0T,12/19/2024 1:08,10/31/2024 14:27,5,32,Hydraulic leak,Seal,3,OPS-JIWJO,FALSE,FALSE,
VT-ABC-WO-1412,VT-ABC,QR-3827,Inspection,RET-CNAJ5,11/23/2024 21:10,12/9/2024 20:11,5,32,Hydraulic leak,Seal,3,MTC-XVRV6,FALSE,FALSE,
VT-ABC-WO-1336,VT-ABC,KL-1215,Inspection,GH-FU1T1,12/15/2024 18:15,10/28/2024 5:54,5,32,Hydraulic leak,Seal,3,CC-6SDN6,FALSE,FALSE,
VT-ABC-WO-5895,VT-ABC,KL-5784,Inspection,MTC-U6JEL,11/6/2024 21:22,10/30/2024 14:54,5,32,Hydraulic leak,Seal,3,SEC-ZW773,FALSE,FALSE,
VT-ABC-WO-9785,VT-ABC,LH-2599,Inspection,SEC-AOTTU,12/15/2024 1:28,11/5/2024 16:48,5,32,Hydraulic leak,Seal,3,GH-CQ6O0,FALSE,FALSE,
VT-ABC-WO-5346,VT-ABC,6E-9512,Inspection,CC-NDUBP,12/8/2024 1:20,11/23/2024 22:16,5,32,Hydraulic leak,Seal,3,GH-NOEGD,FALSE,FALSE,
VT-ABC-WO-5849,VT-ABC,BA-5219,Inspection,SEC-9AU59,12/15/2024 5:35,11/9/2024 4:24,5,32,Hydraulic leak,Seal,3,SEC-MEHIO,FALSE,FALSE,
VT-ABC-WO-1328,VT-ABC,AI-9248,Inspection,CC-RDIQ2,12/6/2024 16:19,10/16/2024 16:17,5,32,Hydraulic leak,Seal,3,MTC-F4MOX,FALSE,FALSE,
VT-ABC-WO-4522,VT-ABC,IX-8361,Inspection,RET-DSRB9,11/16/2024 9:53,12/22/2024 12:06,5,32,Hydraulic leak,Seal,3,OPS-8FZ7Y,FALSE,FALSE,
VT-ABC-WO-6961,VT-ABC,KL-8158,Inspection,CC-01XPW,11/10/2024 16:10,10/13/2024 1:10,5,32,Hydraulic leak,Seal,3,RET-A9JUT,FALSE,FALSE,
VT-ABC-WO-3505,VT-ABC,SQ-1452,Inspection,GH-9ICP9,11/15/2024 18:10,10/12/2024 1:08,5,32,Hydraulic leak,Seal,3,SEC-46F3M,FALSE,FALSE,
VT-ABC-WO-3755,VT-ABC,UK-8354,Inspection,GH-PYMKM,11/7/2024 1:30,12/7/2024 21:41,5,32,Hydraulic leak,Seal,3,SEC-15OSY,FALSE,FALSE,
VT-ABC-WO-3739,VT-ABC,KL-8143,Inspection,GH-YC2C6,10/7/2024 15:31,11/7/2024 17:35,5,32,Hydraulic leak,Seal,3,MTC-E6HI7,FALSE,FALSE,
VT-ABC-WO-5878,VT-ABC,BA-4692,Inspection,OPS-B5W1Y,12/23/2024 22:56,12/25/2024 4:20,5,32,Hydraulic leak,Seal,3,MTC-3FMMJ,FALSE,FALSE,
VT-ABC-WO-1772,VT-ABC,SG-1280,Inspection,OPS-AIQFZ,12/15/2024 17:39,10/23/2024 1:03,5,32,Hydraulic leak,Seal,3,MTC-IASOD,FALSE,FALSE,
VT-ABC-WO-4406,VT-ABC,EK-8712,Inspection,GH-POQOA,10/21/2024 18:48,11/6/2024 2:54,5,32,Hydraulic leak,Seal,3,MTC-QTX82,FALSE,FALSE,
VT-ABC-WO-5505,VT-ABC,AF-7517,Inspection,MTC-GEEMO,12/17/2024 22:24,11/5/2024 1:47,5,32,Hydraulic leak,Seal,3,MTC-FEGQU,FALSE,FALSE,
VT-ABC-WO-6463,VT-ABC,AF-5445,Inspection,SEC-0UF4P,10/27/2024 18:32,10/29/2024 11:04,5,32,Hydraulic leak,Seal,3,SEC-2DT6F,FALSE,FALSE,
VT-ABC-WO-1331,VT-ABC,UK-7267,Inspection,RET-T1UZR,12/25/2024 1:17,12/29/2024 14:12,5,32,Hydraulic leak,Seal,3,SEC-XAG2V,FALSE,FALSE,
VT-ABC-WO-9903,VT-ABC,UK-9035,Inspection,CC-2KA8D,11/24/2024 21:05,10/10/2024 9:44,5,32,Hydraulic leak,Seal,3,SEC-A7PPL,FALSE,FALSE,
VT-ABC-WO-7707,VT-ABC,KL-7267,Inspection,GH-6ZHRN,11/27/2024 10:20,11/4/2024 14:45,5,32,Hydraulic leak,Seal,3,SEC-4ZCAZ,FALSE,FALSE,
VT-ABC-WO-4540,VT-ABC,QR-8616,Inspection,OPS-GEPA6,12/29/2024 11:37,12/26/2024 21:42,5,32,Hydraulic leak,Seal,3,RET-BO4KH,FALSE,FALSE,
VT-ABC-WO-3208,VT-ABC,6E-3212,Inspection,OPS-K3L48,10/25/2024 14:54,12/15/2024 13:04,5,32,Hydraulic leak,Seal,3,MTC-QZXM8,FALSE,FALSE,
VT-ABC-WO-1542,VT-ABC,UK-8354,Inspection,MTC-QO82H,12/3/2024 13:29,12/6/2024 0:38,5,32,Hydraulic leak,Seal,3,RET-F2SP7,FALSE,FALSE,
VT-ABC-WO-2029,VT-ABC,AF-596,Inspection,GH-ULTVC,10/7/2024 16:23,11/3/2024 4:32,5,32,Hydraulic leak,Seal,3,OPS-IEP9Y,FALSE,FALSE,
VT-ABC-WO-2949,VT-ABC,LH-7321,Inspection,GH-5026X,12/8/2024 3:44,11/10/2024 18:55,5,32,Hydraulic leak,Seal,3,SEC-WV6KN,FALSE,FALSE,
VT-ABC-WO-9647,VT-ABC,UK-3465,Inspection,CC-SLE29,11/25/2024 17:58,10/14/2024 6:41,5,32,Hydraulic leak,Seal,3,GH-N44X1,FALSE,FALSE,
VT-ABC-WO-4445,VT-ABC,AI-9760,Inspection,CC-JEDZ1,10/19/2024 9:44,12/20/2024 16:44,5,32,Hydraulic leak,Seal,3,OPS-4P7SY,FALSE,FALSE,
VT-ABC-WO-2059,VT-ABC,BA-2412,Inspection,OPS-Z62KB,12/7/2024 3:40,12/6/2024 21:59,5,32,Hydraulic leak,Seal,3,RET-RXQFV,FALSE,FALSE,
VT-ABC-WO-2827,VT-ABC,KL-4683,Inspection,CC-K9TML,10/4/2024 0:32,11/13/2024 13:48,5,32,Hydraulic leak,Seal,3,CC-NJL6Q,FALSE,FALSE,
VT-ABC-WO-7256,VT-ABC,AF-8007,Inspection,CC-N45CN,11/9/2024 15:58,10/31/2024 15:15,5,32,Hydraulic leak,Seal,3,MTC-HV6G0,FALSE,FALSE,
VT-ABC-WO-9451,VT-ABC,BA-8354,Inspection,SEC-H8LK6,11/18/2024 13:12,11/28/2024 6:50,5,32,Hydraulic leak,Seal,3,GH-PW0W6,FALSE,FALSE,
VT-ABC-WO-9522,VT-ABC,SQ-6988,Inspection,CC-9E6PA,10/13/2024 0:34,10/1/2024 19:31,5,32,Hydraulic leak,Seal,3,OPS-C89H2,FALSE,FALSE,
VT-ABC-WO-3312,VT-ABC,6E-2348,Inspection,MTC-T732G,10/24/2024 14:15,11/4/2024 21:22,5,32,Hydraulic leak,Seal,3,MTC-MGHU5,FALSE,FALSE,
VT-ABC-WO-3091,VT-ABC,LH-4567,Inspection,GH-0QV61,10/27/2024 20:37,11/21/2024 0:16,5,32,Hydraulic leak,Seal,3,SEC-9V6BD,FALSE,FALSE,
VT-ABC-WO-2804,VT-ABC,KL-2732,Inspection,OPS-D79M9,12/6/2024 17:48,10/13/2024 6:40,5,32,Hydraulic leak,Seal,3,SEC-CJLKS,FALSE,FALSE,
VT-ABC-WO-1733,VT-ABC,6E-3795,Inspection,GH-FF3F9,12/16/2024 14:57,10/4/2024 1:38,5,32,Hydraulic leak,Seal,3,CC-H97B5,FALSE,FALSE,
VT-ABC-WO-9391,VT-ABC,IX-420,Inspection,SEC-DOGNT,11/26/2024 1:15,10/27/2024 10:15,5,32,Hydraulic leak,Seal,3,CC-F0UA7,FALSE,FALSE,
VT-ABC-WO-1715,VT-ABC,SG-4979,Inspection,SEC-UM4P2,10/8/2024 17:31,11/27/2024 13:01,5,32,Hydraulic leak,Seal,3,CC-2KTI9,FALSE,FALSE,
